"setup","leakage","tar","method","time","phase"
"1","no","yield","GP 1 full",55.7230666666666,"Inference"
"1","no","yield","GP 2 full",70.0233000000003,"Inference"
"1","no","yield","GP 4 full",52.5362000000002,"Inference"
"1","no","yield","GP 5 full",64.2263000000001,"Inference"
"1","no","yield","GP 5 additive",47.0177000000001,"Inference"
"1","no","yield","GP 5 product",NA,"Inference"
"1","no","yield","GP 5 env-only",NA,"Inference"
"1","no","yield","GP 5 gen-only",NA,"Inference"
"1","no","yield","BGLR 3",406.9892,"Inference"
"1","no","yield","kerLMM",33.3188333333333,"Inference"
"1","no","prot","GP 1 full",46.6779333333332,"Inference"
"1","no","prot","GP 2 full",60.3082666666666,"Inference"
"1","no","prot","GP 4 full",52.2891333333333,"Inference"
"1","no","prot","GP 5 full",62.9074,"Inference"
"1","no","prot","GP 5 additive",43.6847000000001,"Inference"
"1","no","prot","GP 5 product",NA,"Inference"
"1","no","prot","GP 5 env-only",NA,"Inference"
"1","no","prot","GP 5 gen-only",NA,"Inference"
"1","no","prot","BGLR 3",425.627166666667,"Inference"
"1","no","prot","kerLMM",33.7152666666667,"Inference"
